Sample_ID,Genotype,Drought_Stage,Treatment,none,o__Agaricales,o__Atractiellales,o__Auriculariales,o__Botryosphaeriales,o__Cantharellales,o__Capnodiales,o__Chaetothyriales,o__Chytridiomycota_ord_Incertae_sedis,o__Coniochaetales,o__Eurotiales,o__Fungi_ord_Incertae_sedis,o__Glomerellales,o__Hypocreales,o__Magnaporthales,o__Microascales,o__Mycosphaerellales,o__Onygenales,o__Pezizales,o__Pleosporales,o__Rozellomycota_ord_Incertae_sedis,o__Sebacinales,o__Sordariales,o__Spizellomycetales,o__Sporidiobolales,o__Thelebolales,o__Urocystidales,o__Ustilaginales
P11,UCR369,V2-Stage,Drought,2.255224e-04,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000563806,3.619634e-03,6.314626e-04,0.000000e+00,0.007724141,0.95592165,2.255224e-05,0.021435901,1.071231e-03,0.000000e+00,0.000000e+00,1.465895e-04,9.020895e-05,1.511000e-03,0.000000e+00,0.000000e+00,0.005908686,1.127612e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
P12,UCR369,V2-Stage,Drought,3.387756e-04,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000644767,0.99489651,0.000000e+00,0.001999869,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.759054e-04,0.000000e+00,0.000000e+00,0.001278605,6.556947e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
P13,UCR369,V2-Stage,Control,1.122516e-02,0,0.000000e+00,6.954972e-03,9.952206e-04,0,0.021894854,5.786166e-05,7.649312e-03,3.471700e-04,0.035584924,0.85727842,0.000000e+00,0.019985419,0.000000e+00,9.257866e-05,0.000000e+00,0.000000e+00,0.000000e+00,3.089813e-03,9.257866e-05,0.000000e+00,0.029278002,3.980883e-03,6.827676e-04,0.000000e+00,7.059123e-04,1.041510e-04
P14,UCR369,V2-Stage,Control,1.136783e-02,0,0.000000e+00,0.000000e+00,1.780197e-04,0,0.004666658,7.247943e-04,2.473202e-02,9.282454e-04,0.050659309,0.82945717,1.780197e-04,0.013478631,0.000000e+00,3.560393e-04,0.000000e+00,1.398726e-03,3.814707e-05,1.695001e-02,1.907353e-04,0.000000e+00,0.041440433,2.479560e-03,0.000000e+00,7.247943e-04,5.086276e-05,0.000000e+00
P15,UCR369,V2-Stage,Drought,9.466520e-04,0,0.000000e+00,0.000000e+00,2.396587e-04,0,0,0.000000e+00,1.294157e-03,8.388055e-05,0.006998035,0.87755836,9.371854e-02,0.014667114,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.594881e-04,1.809423e-03,0.000000e+00,0.000000e+00,0.002049082,2.276758e-04,0.000000e+00,4.793175e-05,0.000000e+00,0.000000e+00
P16,UCR369,V2-Stage,Drought,8.959083e-05,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00,5.119476e-05,0.000000e+00,0.000947103,0.7656688,0.000000e+00,0.209232975,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.119476e-05,0.000000e+00,4.863502e-04,0.023408803,6.399345e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
P17,ES4,V4-Stage,Control,1.513009e-01,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000909855,1.497230e-04,4.166907e-02,5.297891e-04,0.313508471,0.42441867,2.533774e-04,0.013912723,2.648946e-04,0.000000e+00,9.098552e-04,9.328895e-04,0.000000e+00,5.873749e-04,2.303431e-04,1.266887e-04,0.049477697,3.455146e-04,0.000000e+00,0.000000e+00,2.764117e-04,1.957916e-04
P18,ES4,V4-Stage,Control,2.566207e-03,0,0.000000e+00,0.000000e+00,0.000000e+00,0,0.000485499,3.467847e-05,1.294663e-03,8.091644e-05,0.111329457,0.8260181,0.000000e+00,0.014414685,0.000000e+00,0.000000e+00,0.000000e+00,1.155949e-04,0.000000e+00,5.779745e-04,0.000000e+00,0.000000e+00,0.040169231,2.427493e-04,0.000000e+00,0.000000e+00,2.670242e-03,0.000000e+00
P19,ES4,V4-Stage,Control,4.150940e-03,0,0.000000e+00,0.000000e+00,2.339990e-04,0,0.001800775,8.139097e-05,2.207730e-03,5.900845e-04,0.013083599,0.91892442,0.000000e+00,0.018017926,3.357378e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.380686e-03,0.000000e+00,9.054746e-04,0.035588202,1.485385e-03,0.000000e+00,2.136513e-04,0.000000e+00,0.000000e+00
P21,ES4,V4-Stage,Drought,4.064724e-03,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000487377,0.00447412,5.166196e-04,1.215518e-02,9.747539e-05,0.084959548,0.72235111,1.395945e-01,0.017409104,8.090457e-04,0.000000e+00,6.433376e-04,0.000000e+00,6.823277e-05,2.914514e-03,5.361146e-04,0.000000e+00,0.003372648,1.559606e-04,5.556097e-04,0.000000e+00,4.834779e-03,0.000000e+00
